dimension,value,records,with_sources,reviewed,with_evidence,origins_known,nonzero,distinct_sources,sparse
source_family,agence ecofin,1,0,0,0,0,0,1,1
source_family,agenzia nova,1,0,0,0,0,0,1,1
source_family,airbus,1,0,0,0,0,0,1,1
source_family,al arabiya,1,1,0,0,0,1,1,1
source_family,al bawaba,1,1,0,0,0,1,1,1
source_family,al estiklal republication du contenu jeune afrique,1,0,0,0,0,0,1,1
source_family,al jazeera,13,13,0,0,0,13,13,0
source_family,al jazeera heba habib reuters,1,1,0,0,0,1,1,1
source_family,al jazeera reuters,1,1,0,0,0,1,1,1
source_family,al jazeera staff and reuters,1,1,0,0,0,1,1,1
source_family,allafrica,1,1,0,0,0,1,1,1
source_family,allafrica carrying a united nations economic commission for africa press release,1,0,0,0,0,0,1,1
source_family,alstom,1,0,0,0,0,0,1,1
source_family,amen bank,1,1,0,0,0,1,1,1
source_family,amen invest pdf diffuse par webmanagercenter,1,1,0,0,0,1,1,1
source_family,amnesty international,4,3,0,0,0,3,4,0
source_family,anadolu agency,4,4,0,0,0,4,4,0
source_family,anadolu agency fr,1,1,0,0,0,1,1,1
source_family,annales economies societes civilisations persee,1,0,0,0,0,0,1,1
source_family,ansa,1,1,0,0,0,1,1,1
source_family,ap news,1,1,0,0,0,1,1,1
source_family,apa news,1,0,0,0,0,0,1,1
source_family,arab news reuters,1,1,0,0,0,1,1,1
source_family,arabi21 ar,1,1,0,0,0,1,1,1
source_family,arabic wikipedia,9,9,0,0,0,9,9,0
source_family,arabic wikipedia governorate page,3,0,0,0,0,0,3,1
source_family,arabic wikipedia municipality list,1,0,0,0,0,0,1,1
source_family,asian voice,1,0,0,0,0,0,1,1
source_family,associated press,3,3,0,0,0,3,3,0
source_family,axios,2,2,0,0,0,2,2,1
source_family,babnet,2,2,0,0,0,2,2,1
source_family,babnet tap,1,0,0,0,0,0,1,1
source_family,babnet tunisie,3,2,0,0,0,2,3,1
source_family,banglapedia national encyclopedia of bangladesh,1,0,0,0,0,0,1,1
source_family,banque centrale de tunisie,2,2,0,0,0,2,2,1
source_family,banque centrale de tunisie compte rendu par la presse de tunisie,1,0,0,0,0,0,1,1
source_family,banque tuniso koweitienne official site,1,1,0,0,0,1,1,1
source_family,bbc,3,3,0,0,0,3,3,0
source_family,bbc afrique,1,1,0,0,0,1,1,1
source_family,bbc news,2,1,0,0,0,1,2,1
source_family,bergens tidende norway,1,1,0,0,0,1,1,1
source_family,bfm tv avec afp,1,1,0,0,0,1,1,1
source_family,biat biat com tn,1,1,0,0,0,1,1,1
source_family,biat site officiel,1,1,0,0,0,1,1,1
source_family,billionaires africa,1,0,0,0,0,0,1,1
source_family,blog radioreporter org,1,1,0,0,0,1,1,1
source_family,bloomberg,1,1,0,0,0,1,1,1
source_family,bofip impots boi annx 000306,1,0,0,0,0,0,1,1
source_family,bofip impots direction generale des finances publiques france,1,0,0,0,0,0,1,1
source_family,bukhatir group official site,1,1,0,0,0,1,1,1
source_family,business news,20,16,0,0,0,16,20,0
source_family,business news via web archive org capture 14 07 2018,1,1,0,0,0,1,1,1
source_family,businessnews tunisie,2,2,0,0,0,2,2,1
source_family,caf construcciones y auxiliar de ferrocarriles,1,0,0,0,0,0,1,1
source_family,carnegie endowment for international peace,3,3,0,0,0,3,3,0
source_family,carnegie middle east center via eth zurich center for security studies,1,0,0,0,0,0,1,1
source_family,cartaginoiseries carthage,1,1,0,0,0,1,1,1
source_family,ceic data,1,0,0,0,0,0,1,1
source_family,cmf conseil du marche financier,1,1,0,0,0,1,1,1
source_family,coficab group site officiel,1,0,0,0,0,0,1,1
source_family,comesa secretariat,2,0,0,0,0,0,2,1
source_family,committee for justice,1,1,0,0,0,1,1,1
source_family,committee to protect journalists,1,0,0,0,0,0,1,1
source_family,companies house uk,1,0,0,0,0,0,1,1
source_family,conect,1,0,0,0,0,0,1,1
source_family,conect international,1,1,0,0,0,1,1,1
source_family,conect official site,1,1,0,0,0,1,1,1
source_family,conseil national des regions et des districts,1,1,0,0,0,1,1,1
source_family,cour de cassation republique tunisienne,1,0,0,0,0,0,1,1
source_family,cour des comptes republique tunisienne,1,1,0,0,0,1,1,1
source_family,dcaf base de donnees juridique du secteur de la securite en tunisie texte du jort,5,3,0,0,0,3,5,0
source_family,dcaf base de donnees juridique du secteur de la securite en tunisie texte du jort via legislation securite tn,1,0,0,0,0,0,1,1
source_family,dcaf geneva centre for security sector governance legislation securite tn,1,0,0,0,0,0,1,1
source_family,dcaf legislation securite tn,6,3,0,0,0,3,6,0
source_family,dcaf legislation securite tn jort,1,0,0,0,0,0,1,1
source_family,dcaf legislation securite tn jort n 18 du 18 03 2011 pp 338 342,1,1,0,0,0,1,1,1
source_family,dcaf legislation securite tn jort n 27 du 14 04 1987 p 507,1,0,0,0,0,0,1,1
source_family,dcaf legislation securite tn jort n 34 du 16 04 2021 p 838,1,0,0,0,0,0,1,1
source_family,deeptunisia docs research roadmap md,1,0,0,0,0,0,1,1
source_family,deeptunisia editorial note,1,1,0,0,0,1,1,1
source_family,defensenews,1,1,0,0,0,1,1,1
source_family,departement federal des affaires etrangeres suisse,1,0,0,0,0,0,1,1
source_family,destination tunisie,3,2,0,0,0,2,3,1
source_family,deutsche welle,3,2,0,0,0,2,3,1
source_family,diacron group tax and trade compliance briefing,1,0,0,0,0,0,1,1
source_family,directinfo,2,2,0,0,0,2,2,1
source_family,directinfo avec tap,1,0,0,0,0,0,1,1
source_family,directinfo via tap agence tunis afrique presse,1,1,0,0,0,1,1,1
source_family,directinfo webmanagercenter,16,14,0,0,0,14,16,0
source_family,direction generale des douanes tunisie,1,1,0,0,0,1,1,1
source_family,direction generale des finances publiques france,1,0,0,0,0,0,1,1
source_family,editions l harmattan,1,1,0,0,0,1,1,1
source_family,elmedniniya,1,1,0,0,0,1,1,1
source_family,embassy of belgium in tunis official facebook page,1,0,0,0,0,0,1,1
source_family,embassy of india tunis,1,0,0,0,0,0,1,1
